icdcode,description1,description2
2949,Other organic psychotic conditions (chronic),Unspecified
2950,Schizophrenic psychoses,Simple type
2951,Schizophrenic psychoses,Hebephrenic type
2952,Schizophrenic psychoses,Catatonic type
2953,Schizophrenic psychoses,Paranoid type
2954,Schizophrenic psychoses,Acute schizophrenic episode
2955,Schizophrenic psychoses,Latent schizophrenia
2956,Schizophrenic psychoses,Residual schizophrenia
2957,Schizophrenic psychoses,Schizoaffective type
2958,Schizophrenic psychoses,Other
2959,Schizophrenic psychoses,Unspecified
2960,Affective psychoses,"Manic-depressive psychosis, manic type"
2961,Affective psychoses,"Manic-depressive psychosis, depressed type"
2962,Affective psychoses,"Manic-depressive psychosis, circular type but currently manic"
2963,Affective psychoses,"Manic-depressive psychosis, circular type but currently depressed"
2964,Affective psychoses,"Manic-depressive psychosis, circular type, mixed"
2965,Affective psychoses,"Manic-depressive psychosis, circular type, current condition not specified"
2966,Affective psychoses,"Manic-depressive psychosis, other and unspecified"
2968,Affective psychoses,Other
2969,Affective psychoses,Unspecified
2970,Paranoid states,"Paranoid state, simple"
2971,Paranoid states,Paranoia
2972,Paranoid states,Paraphrenia
2973,Paranoid states,Induced psychosis
2978,Paranoid states,Other
2979,Paranoid states,Unspecified
2980,Other nonorganic psychoses,Depressive type
2981,Other nonorganic psychoses,Excitative type
2982,Other nonorganic psychoses,Reactive confusion
2983,Other nonorganic psychoses,Acute paranoid reaction
2984,Other nonorganic psychoses,Psychogenic paranoid psychosis
2988,Other nonorganic psychoses,Other and unspecified reactive psychosis
2989,Other nonorganic psychoses,Unspecified psychosis
2990,Psychoses with origin specific to childhood,Infantile autism
2991,Psychoses with origin specific to childhood,Disintegrative psychosis
2998,Psychoses with origin specific to childhood,Other
2999,Psychoses with origin specific to childhood,Unspecified
3000,Neurotic disorders,Anxiety states
3001,Neurotic disorders,Hysteria
3002,Neurotic disorders,Phobic state
3003,Neurotic disorders,Obsessive-compulsive disorders
3004,Neurotic disorders,Neurotic depression
3005,Neurotic disorders,Neurasthenia
3006,Neurotic disorders,Depersonalization syndrome
3007,Neurotic disorders,Hypochondriasis
3008,Neurotic disorders,Other neurotic disorders
3009,Neurotic disorders,Unspecified
3010,Personality disorders,Paranoid personality disorder
3011,Personality disorders,Affective personality disorder
3012,Personality disorders,Schizoid personality disorder
3013,Personality disorders,Explosive personality disorder
3014,Personality disorders,Anankastic personality disorder
3015,Personality disorders,Hysterical personality disorder
3016,Personality disorders,Asthenic personality disorder
3017,Personality disorders,Personality disorder with predominantly sociopathic or asocial manifestation
3018,Personality disorders,Other personality disorders
3019,Personality disorders,Unspecified
3020,Sexual deviations and disorders,Homosexuality
3021,Sexual deviations and disorders,Bestiality
3022,Sexual deviations and disorders,Paedophilia
3023,Sexual deviations and disorders,Transvestism
3024,Sexual deviations and disorders,Exhibitionism
3025,Sexual deviations and disorders,Trans-sexualism
3026,Sexual deviations and disorders,Disorders of psychosexual identity
3027,Sexual deviations and disorders,Frigidity and impotence
3028,Sexual deviations and disorders,Other
3029,Sexual deviations and disorders,Unspecified
3030,Alcohol dependence syndrome,Alcohol dependence syndrome
3040,Drug dependence,Morphine type
3041,Drug dependence,Barbiturate type
3042,Drug dependence,Cocaine
3043,Drug dependence,Cannabis
3044,Drug dependence,Amphetamine type and other psychostimulants
3045,Drug dependence,Hallucinogens
3046,Drug dependence,Other
3047,Drug dependence,Combinations of morphine type drug with any other
3048,Drug dependence,Combinations excluding morphine type drug
3049,Drug dependence,Unspecified
3050,Nondependent abuse of drugs,Alcohol
3051,Nondependent abuse of drugs,Tobacco
3052,Nondependent abuse of drugs,Cannabis
3053,Nondependent abuse of drugs,Hallucinogens
3054,Nondependent abuse of drugs,Barbiturates and tranquillizers
3055,Nondependent abuse of drugs,Morphine type
3056,Nondependent abuse of drugs,Cocaine type
3057,Nondependent abuse of drugs,Amphetamine type
3058,Nondependent abuse of drugs,Antidepressants
3059,Nondependent abuse of drugs,"Other, mixed or unspecified"
3060,Physiological malfunction arising from mental factors,Musculoskeletal
3061,Physiological malfunction arising from mental factors,Respiratory
3062,Physiological malfunction arising from mental factors,Cardiovascular
3063,Physiological malfunction arising from mental factors,Skin
3064,Physiological malfunction arising from mental factors,Gastrointestinal
3065,Physiological malfunction arising from mental factors,Genitourinary
3066,Physiological malfunction arising from mental factors,Endocrine
3067,Physiological malfunction arising from mental factors,Organs of special sense
3068,Physiological malfunction arising from mental factors,Other
3069,Physiological malfunction arising from mental factors,Unspecified
3070,Special symptoms or syndromes not elsewhere classified,Stammering and stuttering
3071,Special symptoms or syndromes not elsewhere classified,Anorexia nervosa
3072,Special symptoms or syndromes not elsewhere classified,Tics
3073,Special symptoms or syndromes not elsewhere classified,Stereotyped repetitive movements
3074,Special symptoms or syndromes not elsewhere classified,Specific disorders of sleep
3075,Special symptoms or syndromes not elsewhere classified,Other and unspecified disorders of eating
3076,Special symptoms or syndromes not elsewhere classified,Enuresis
3077,Special symptoms or syndromes not elsewhere classified,Encopresis
3078,Special symptoms or syndromes not elsewhere classified,Psychalgia
3079,Special symptoms or syndromes not elsewhere classified,Other and unspecified
3080,Acute reaction to stress,Predominant disturbance of emotions
3081,Acute reaction to stress,Predominant disturbance of consciousness
3082,Acute reaction to stress,Predominant psychomotor disturbance
3083,Acute reaction to stress,Other
3084,Acute reaction to stress,Mixed
3089,Acute reaction to stress,Unspecified
3090,Adjustment reaction,Brief depressive reaction
3091,Adjustment reaction,Prolonged depressive reaction
3092,Adjustment reaction,With predominant disturbance of other emotions
3093,Adjustment reaction,With predominant disturbance of conduct
3094,Adjustment reaction,With mixed disturbance of emotions and conduct
3098,Adjustment reaction,Other
3099,Adjustment reaction,Unspecified
3100,Specific nonpsychotic mental disorders following organic brain damage,Frontal lobe syndrome
3101,Specific nonpsychotic mental disorders following organic brain damage,Cognitive or personality change of other type
3102,Specific nonpsychotic mental disorders following organic brain damage,Postconcussional syndrome
3108,Specific nonpsychotic mental disorders following organic brain damage,Other
3109,Specific nonpsychotic mental disorders following organic brain damage,Unspecified
3110,"Depressive disorder, not elsewhere classified","Depressive disorder, not elsewhere classified"
3120,Disturbance of conduct not elsewhere classified,Unsocialized disturbance of conduct
3121,Disturbance of conduct not elsewhere classified,Socialized disturbance of conduct
3122,Disturbance of conduct not elsewhere classified,Compulsive conduct disorder
3123,Disturbance of conduct not elsewhere classified,Mixed disturbance of conduct and emotions
3128,Disturbance of conduct not elsewhere classified,Other
3129,Disturbance of conduct not elsewhere classified,Unspecified
3130,Disturbance of emotions specific to childhood and adolescence,With anxiety and fearfulness
3131,Disturbance of emotions specific to childhood and adolescence,With misery and unhappiness
3132,Disturbance of emotions specific to childhood and adolescence,"With sensitivity, shyness and social withdrawal"
3133,Disturbance of emotions specific to childhood and adolescence,Relationship problems
3138,Disturbance of emotions specific to childhood and adolescence,Other or mixed
3139,Disturbance of emotions specific to childhood and adolescence,Unspecified
3140,Hyperkinetic syndrome of childhood,Simple disturbance of activity and attention
3141,Hyperkinetic syndrome of childhood,Hyperkinesis with developmental delay
3142,Hyperkinetic syndrome of childhood,Hyperkinetic conduct disorder
3148,Hyperkinetic syndrome of childhood,Other
3149,Hyperkinetic syndrome of childhood,Unspecified
3150,Specific delays in development,Specific reading retardation
3151,Specific delays in development,Specific arithmetical retardation
3152,Specific delays in development,Other specific learning difficulties
3153,Specific delays in development,Developmental speech or language disorder
3154,Specific delays in development,Specific motor retardation
3155,Specific delays in development,Mixed development disorder
3158,Specific delays in development,Other
3159,Specific delays in development,Unspecified
3160,Psychic factors associated with diseases classified elsewhere,Psychic factors associated with diseases classified elsewhere
3170,Mild mental retardation,Mild mental retardation
3180,Other specified mental retardation,Moderate mental retardation
3181,Other specified mental retardation,Severe mental retardation
3182,Other specified mental retardation,Profound mental retardation
3190,Other specified mental retardation,Unspecified mental retardation
3200,Bacterial meningitis,Haemophilus meningitis
3201,Bacterial meningitis,Pneumococcal meningitis
3202,Bacterial meningitis,Streptococcal meningitis
3203,Bacterial meningitis,Staphylococcal meningitis
3204,Bacterial meningitis,Tuberculous meningitis
3205,Bacterial meningitis,Meningococcal meningitis
3207,Bacterial meningitis,Meningitis in other bacterial diseases classified elsewhere
3208,Bacterial meningitis,Meningitis due to other specified bacteria
3209,Bacterial meningitis,Meningitis due to unspecified bacterium
3210,Meningitis due to other organisms,Fungal meningitis
3211,Meningitis due to other organisms,Meningitis due to Coxsackie virus
3212,Meningitis due to other organisms,Meningitis due to ECHO virus
3213,Meningitis due to other organisms,Meningitis due to herpes zoster virus
3214,Meningitis due to other organisms,Meningitis due to herpes simplex virus
3215,Meningitis due to other organisms,Meningitis due to mumps virus
3216,Meningitis due to other organisms,Meningitis due to lymphocytic choriomeningitis virus
3217,Meningitis due to other organisms,Meningitis due to other and unspecified viruses
3218,Meningitis due to other organisms,Other
3220,Meningitis of unspecified cause,Nonpyogenic meningitis
3221,Meningitis of unspecified cause,Eosinophilic meningitis
3222,Meningitis of unspecified cause,Chronic meningitis
3229,Meningitis of unspecified cause,"Meningitis, unspecified"
3230,"Encephalitis, myelitis and encephalomyelitis",Kuru
3231,"Encephalitis, myelitis and encephalomyelitis",Subacute sclerosing panencephalitis
3232,"Encephalitis, myelitis and encephalomyelitis",Poliomyelitis
3233,"Encephalitis, myelitis and encephalomyelitis",Arthropod-borne viral encephalitis
3234,"Encephalitis, myelitis and encephalomyelitis",Other encephalitis due to infection
3235,"Encephalitis, myelitis and encephalomyelitis",Encephalitis following immunization procedures
3236,"Encephalitis, myelitis and encephalomyelitis",Postinfectious encephalitis
3237,"Encephalitis, myelitis and encephalomyelitis",Toxic encephalitis
3238,"Encephalitis, myelitis and encephalomyelitis",Other
3239,"Encephalitis, myelitis and encephalomyelitis",Unspecified cause
3240,Intracranial and intraspinal abscess,Intracranial abscess
3241,Intracranial and intraspinal abscess,Intraspinal abscess
3249,Intracranial and intraspinal abscess,Of unspecified site
3250,Phlebitis and thrombophlebitis of intracranial venous sinuses,Phlebitis and thrombophlebitis of intracranial venous sinuses
3260,Late effects of intracranial abscess or pyogenic infection,Late effects of intracranial abscess or pyogenic infection
3300,Cerebral degenerations usually manifest in childhood,Leucodystrophy
3301,Cerebral degenerations usually manifest in childhood,Cerebral lipidoses
3302,Cerebral degenerations usually manifest in childhood,Cerebral degeneration in generalized lipidoses
3303,Cerebral degenerations usually manifest in childhood,Cerebral degeneration of childhood in other diseases classified elsewhere
3308,Cerebral degenerations usually manifest in childhood,Other cerebral degenerations in childhood
3309,Cerebral degenerations usually manifest in childhood,Unspecified
3310,Other cerebral degenerations,Alzheimer's disease
3311,Other cerebral degenerations,Pick's disease
3312,Other cerebral degenerations,Senile degeneration of brain
3313,Other cerebral degenerations,Communicating hydrocephalus
3314,Other cerebral degenerations,Obstructive hydrocephalus
3315,Other cerebral degenerations,Jakob-Creutzfeldt disease
3316,Other cerebral degenerations,Progressive multifocal leucoencephalopathy
3317,Other cerebral degenerations,Cerebral degeneration in other diseases classified elsewhere
3318,Other cerebral degenerations,Other cerebral degeneration
3319,Other cerebral degenerations,Unspecified
3320,Parkinson's disease,Paralysis agitans
3321,Parkinson's disease,Secondary Parkinsonism
3330,Other extrapyramidal disease and abnormal movement disorders,Other degenerative diseases of the basal ganglia
3331,Other extrapyramidal disease and abnormal movement disorders,Essential and other specified forms of tremor
3332,Other extrapyramidal disease and abnormal movement disorders,Myoclonus
3333,Other extrapyramidal disease and abnormal movement disorders,Tics of organic origin
3334,Other extrapyramidal disease and abnormal movement disorders,Huntington's chorea
3335,Other extrapyramidal disease and abnormal movement disorders,Other choreas
3336,Other extrapyramidal disease and abnormal movement disorders,Idiopathic torsion dystonia
3337,Other extrapyramidal disease and abnormal movement disorders,Symptomatic torsion dystonia
3338,Other extrapyramidal disease and abnormal movement disorders,Fragments of torsion dystonia
3339,Other extrapyramidal disease and abnormal movement disorders,Other and unspecified
3340,Spinocerebellar disease,Friedreich's ataxia
3341,Spinocerebellar disease,Hereditary spastic paraplegia
3342,Spinocerebellar disease,Primary cerebellar degeneration
3343,Spinocerebellar disease,Other cerebellar ataxia
3344,Spinocerebellar disease,Cerebellar ataxia in diseases classified elsewhere
3348,Spinocerebellar disease,Other
3349,Spinocerebellar disease,Unspecified
3350,Anterior horn cell disease,Werdnig-Hoffmann disease
3351,Anterior horn cell disease,Spinal muscular atrophy
3352,Anterior horn cell disease,Motor neurone disease
3358,Anterior horn cell disease,Other
3359,Anterior horn cell disease,Unspecified
3360,Other diseases of spinal cord,Syringomyelia and syringobulbia
3361,Other diseases of spinal cord,Vascular myelopathies
3362,Other diseases of spinal cord,Subacute combined degeneration of spinal cord
3363,Other diseases of spinal cord,Myelopathy in other diseases classified elsewhere
3368,Other diseases of spinal cord,Other myelopathy
3369,Other diseases of spinal cord,Unspecified diseases of spinal cord
3370,Disorders of the autonomic nervous system,Idiopathic peripheral autonomic neuropathy
3371,Disorders of the autonomic nervous system,Peripheral autonomic neuropathy in disorders classified elsewhere
3379,Disorders of the autonomic nervous system,Unspecified
3400,Multiple sclerosis,Multiple sclerosis
3410,Other demyelinating diseases of central nervous system,Neuromyelitis optica
3411,Other demyelinating diseases of central nervous system,Schilder's disease
3418,Other demyelinating diseases of central nervous system,Other
3419,Other demyelinating diseases of central nervous system,Unspecified
3420,Hemiplegia,Flaccid hemiplegia
3421,Hemiplegia,Spastic hemiplegia
3429,Hemiplegia,Unspecified
3430,Infantile cerebral palsy,Diplegic
3431,Infantile cerebral palsy,Hemiplegic
3432,Infantile cerebral palsy,Quadriplegic
3433,Infantile cerebral palsy,Monoplegic
3434,Infantile cerebral palsy,Infantile hemiplegia
3438,Infantile cerebral palsy,Other
3439,Infantile cerebral palsy,Unspecified
3440,Other paralytic syndromes,Quadriplegia
3441,Other paralytic syndromes,Paraplegia
3442,Other paralytic syndromes,Diplegia of upper limbs
3443,Other paralytic syndromes,Monoplegia of lower limb
3444,Other paralytic syndromes,Monoplegia of upper limb
3445,Other paralytic syndromes,Unspecified monoplegia
3446,Other paralytic syndromes,Cauda equina syndrome
3448,Other paralytic syndromes,Other
3449,Other paralytic syndromes,Unspecified
3450,Epilepsy,Generalized nonconvulsive epilepsy
3451,Epilepsy,Generalized convulsive epilepsy
3452,Epilepsy,Petit mal status
3453,Epilepsy,Grand mal status
3454,Epilepsy,"Partial epilepsy, with impairment of consciousness"
3455,Epilepsy,"Partial epilepsy, without mention of impairment of consciousness"
3456,Epilepsy,Infantile spasms
3457,Epilepsy,Epilepsia partialis continua
3458,Epilepsy,Other
3459,Epilepsy,Unspecified
3460,Migraine,Classical migraine
3461,Migraine,Common migraine
3462,Migraine,Variants of migraine
3468,Migraine,Other
3469,Migraine,Unspecified
3470,Cataplexy and narcolepsy,Cataplexy and narcolepsy
3480,Other conditions of brain,Cerebral cysts
3481,Other conditions of brain,Anoxic brain damage
3482,Other conditions of brain,Benign intracranial hypertension
3483,Other conditions of brain,"Encephalopathy, unspecified"
3484,Other conditions of brain,Compression of brain
3485,Other conditions of brain,Cerebral oedema
3488,Other conditions of brain,Other
3489,Other conditions of brain,Unspecified
3490,Other and unspecified disorders of the nervous system,Reaction to spinal or lumbar puncture
3491,Other and unspecified disorders of the nervous system,Nervous system complications from surgically implanted device
3492,Other and unspecified disorders of the nervous system,"Disorders of meninges, not elsewhere classified"
3498,Other and unspecified disorders of the nervous system,Other
3499,Other and unspecified disorders of the nervous system,Unspecified
3500,Trigeminal nerve disorders,Post-herpetic trigeminal neuralgia
3501,Trigeminal nerve disorders,Other trigeminal neuralgia
3502,Trigeminal nerve disorders,Atypical face pain
3508,Trigeminal nerve disorders,Other
3509,Trigeminal nerve disorders,Unspecified
3510,Facial nerve disorders,Bell's palsy
3511,Facial nerve disorders,Geniculate ganglionitis
3518,Facial nerve disorders,Other
3519,Facial nerve disorders,Unspecified
3520,Disorders of other cranial nerves,Disorders of olfactory [1st] nerve
3521,Disorders of other cranial nerves,Glossopharyngeal neuralgia
3522,Disorders of other cranial nerves,Other disorders of glossopharyngeal [9th] nerve
3523,Disorders of other cranial nerves,Disorders of pneumogastric [10th] nerve
3524,Disorders of other cranial nerves,Disorders of accessory [11th] nerve
3525,Disorders of other cranial nerves,Disorders of hypoglossal [12th] nerve
3526,Disorders of other cranial nerves,Multiple cranial nerve palsies
3529,Disorders of other cranial nerves,Unspecified
3530,Nerve root and plexus disorders,Brachial plexus lesions
3531,Nerve root and plexus disorders,Lumbosacral plexus lesions
3532,Nerve root and plexus disorders,"Cervical root lesions, not elsewhere classified"
3533,Nerve root and plexus disorders,"Thoracic root lesions, not elsewhere classified"
3534,Nerve root and plexus disorders,"Lumbosacral root lesions, not elsewhere classified"
3535,Nerve root and plexus disorders,Neuralgic amyotrophy
3536,Nerve root and plexus disorders,Phantom limb syndrome
3538,Nerve root and plexus disorders,Other
3539,Nerve root and plexus disorders,Unspecified
3540,Mononeuritis of upper limb and mononeuritis multiplex,Carpal tunnel syndrome
3541,Mononeuritis of upper limb and mononeuritis multiplex,Other lesion of median nerve
3542,Mononeuritis of upper limb and mononeuritis multiplex,Lesion of ulnar nerve
3543,Mononeuritis of upper limb and mononeuritis multiplex,Lesion of radial nerve
3544,Mononeuritis of upper limb and mononeuritis multiplex,Causalgia
3545,Mononeuritis of upper limb and mononeuritis multiplex,Mononeuritis multiplex
3548,Mononeuritis of upper limb and mononeuritis multiplex,Other
3549,Mononeuritis of upper limb and mononeuritis multiplex,Unspecified
3550,Mononeuritis of lower limb,Lesion of sciatic nerve
3551,Mononeuritis of lower limb,Meralgia paraesthetica
3552,Mononeuritis of lower limb,Lesion of femoral nerve
3553,Mononeuritis of lower limb,Lesion of lateral popliteal nerve
3554,Mononeuritis of lower limb,Lesion of medial popliteal nerve
3555,Mononeuritis of lower limb,Tarsal tunnel syndrome
3556,Mononeuritis of lower limb,Lesion of plantar nerve
3557,Mononeuritis of lower limb,Other
3558,Mononeuritis of lower limb,Unspecified mononeuritis of lower limb
3559,Mononeuritis of lower limb,Mononeuritis of unspecified site
3560,Hereditary and idiopathic peripheral neuropathy,Hereditary peripheral neuropathy
3561,Hereditary and idiopathic peripheral neuropathy,Peroneal muscular atrophy
3562,Hereditary and idiopathic peripheral neuropathy,Hereditary sensory neuropathy
3563,Hereditary and idiopathic peripheral neuropathy,Refsum's disease
3564,Hereditary and idiopathic peripheral neuropathy,Idiopathic progressive polyneuropathy
3568,Hereditary and idiopathic peripheral neuropathy,Other
3569,Hereditary and idiopathic peripheral neuropathy,Unspecified
3570,Inflammatory and toxic neuropathy,Acute infective polyneuritis
3571,Inflammatory and toxic neuropathy,Polyneuropathy in collagen vascular disease
3572,Inflammatory and toxic neuropathy,Polyneuropathy in diabetes
3573,Inflammatory and toxic neuropathy,Polyneuropathy in malignant disease
3574,Inflammatory and toxic neuropathy,Polyneuropathy in other diseases classified elsewhere
3575,Inflammatory and toxic neuropathy,Alcoholic polyneuropathy
3576,Inflammatory and toxic neuropathy,Polyneuropathy due to drugs
3577,Inflammatory and toxic neuropathy,Polyneuropathy due to other toxic agents
3578,Inflammatory and toxic neuropathy,Other
3579,Inflammatory and toxic neuropathy,Unspecified
3580,Myoneural disorders,Myasthenia gravis
3581,Myoneural disorders,Myasthenic syndromes in diseases classified elsewhere
3582,Myoneural disorders,Toxic myoneural disorders
3588,Myoneural disorders,Other
3589,Myoneural disorders,Unspecified
3590,Muscular dystrophies and other myopathies,Congenital hereditary muscular dystrophy
3591,Muscular dystrophies and other myopathies,Hereditary progressive muscular dystrophy
3592,Muscular dystrophies and other myopathies,Myotonic disorders
3593,Muscular dystrophies and other myopathies,Familial periodic paralysis
3594,Muscular dystrophies and other myopathies,Toxic myopathy
3595,Muscular dystrophies and other myopathies,Endocrine myopathy
3596,Muscular dystrophies and other myopathies,Symptomatic inflammatory myopathy
3598,Muscular dystrophies and other myopathies,Other
3599,Muscular dystrophies and other myopathies,Unspecified
3600,Disorders of the globe,Purulent endophthalmitis
3601,Disorders of the globe,Other endophthalmitis
3602,Disorders of the globe,Degenerative disorders of globe
3603,Disorders of the globe,Hypotony of eye
3604,Disorders of the globe,Degenerated conditions of globe
3605,Disorders of the globe,"Retained (old) intraocular foreign body, magnetic"
3606,Disorders of the globe,"Retained (old) intraocular foreign body, nonmagnetic"
3608,Disorders of the globe,Other disorders of globe
3609,Disorders of the globe,Unspecified
3610,Retinal detachments and defects,Retinal detachment with retinal defect
3611,Retinal detachments and defects,Retinoschisis and retinal cysts
3612,Retinal detachments and defects,Serous retinal detachment
3613,Retinal detachments and defects,Retinal defects without detachment
3618,Retinal detachments and defects,Other forms of retinal detachment
3619,Retinal detachments and defects,Unspecified
3620,Other retinal disorders,Diabetic retinopathy
3621,Other retinal disorders,Other background retinopathy and retinal vascular changes
3622,Other retinal disorders,Other proliferative retinopathy
3623,Other retinal disorders,Retinal vascular occlusion
3624,Other retinal disorders,Separation of retinal layers
3625,Other retinal disorders,Degeneration of macula and posterior pole
3626,Other retinal disorders,Peripheral retinal degenerations
3627,Other retinal disorders,Hereditary retinal dystrophies
3628,Other retinal disorders,Other retinal disorders
3629,Other retinal disorders,Unspecified
3630,Chorioretinal inflammations and scars and other disorders of choroid,Focal chorioretinitis and focal retinochoroiditis
3631,Chorioretinal inflammations and scars and other disorders of choroid,Disseminated chorioretinitis and disseminated retinochoroiditis
3632,Chorioretinal inflammations and scars and other disorders of choroid,Other and unspecified forms of chorioretinitis and retinochoroiditis
3633,Chorioretinal inflammations and scars and other disorders of choroid,Chorioretinal scars
3634,Chorioretinal inflammations and scars and other disorders of choroid,Choroidal degenerations
3635,Chorioretinal inflammations and scars and other disorders of choroid,Hereditary choroidal dystrophies
3636,Chorioretinal inflammations and scars and other disorders of choroid,Choroidal haemorrhage and rupture
3637,Chorioretinal inflammations and scars and other disorders of choroid,Choroidal detachment
3638,Chorioretinal inflammations and scars and other disorders of choroid,Other disorders of choroid
3639,Chorioretinal inflammations and scars and other disorders of choroid,Unspecified
3640,Disorders of iris and ciliary body,Acute and subacute iridocyclitis
3641,Disorders of iris and ciliary body,Chronic iridocyclitis
3642,Disorders of iris and ciliary body,Certain types of iridocyclitis
3643,Disorders of iris and ciliary body,Unspecified iridocyclitis
3644,Disorders of iris and ciliary body,Vascular disorders of iris and ciliary body
3645,Disorders of iris and ciliary body,Degenerations of iris and ciliary body
3646,Disorders of iris and ciliary body,"Cysts of iris, ciliary body and anterior chamber"
3647,Disorders of iris and ciliary body,Adhesions and disruptions of iris and ciliary body
3648,Disorders of iris and ciliary body,Other disorders of iris and ciliary body
3649,Disorders of iris and ciliary body,Unspecified
3650,Glaucoma,Borderline glaucoma
3651,Glaucoma,Open-angle glaucoma
3652,Glaucoma,Primary angle-closure glaucoma
3653,Glaucoma,Corticosteroid-induced glaucoma
3654,Glaucoma,"Glaucoma associated with congenital anomalies, with dystrophies and with systemic syndromes"
3655,Glaucoma,Glaucoma associated with disorders of the lens
3656,Glaucoma,Glaucoma associated with other ocular disorders
3658,Glaucoma,Other glaucoma
3659,Glaucoma,Unspecified
3660,Cataract,"Infantile, juvenile and presenile cataract"
3661,Cataract,Senile cataract
3662,Cataract,Traumatic cataract
3663,Cataract,Cataract secondary to ocular disorders
3664,Cataract,Cataract associated with other disorders
3665,Cataract,After-cataract
3668,Cataract,Other cataract
3669,Cataract,Unspecified
3670,Disorders of refraction and accommodation,Hypermetropia
3671,Disorders of refraction and accommodation,Myopia
3672,Disorders of refraction and accommodation,Astigmatism
3673,Disorders of refraction and accommodation,Anisometropia and aniseikonia
3674,Disorders of refraction and accommodation,Presbyopia
3675,Disorders of refraction and accommodation,Disorders of accommodation
3678,Disorders of refraction and accommodation,Other
3679,Disorders of refraction and accommodation,Unspecified
3680,Visual disturbances,Amblyopia ex anopsia
3681,Visual disturbances,Subjective visual disturbances
3682,Visual disturbances,Diplopia
3683,Visual disturbances,Other disorders of binocular vision
3684,Visual disturbances,Visual field defects
3685,Visual disturbances,Colour vision deficiencies
3686,Visual disturbances,Night blindness
3688,Visual disturbances,Other visual disturbances
3689,Visual disturbances,Unspecified
3690,Blindness and low vision,"Blindness, both eyes"
3691,Blindness and low vision,"Blindness, one eye, low vision other eye"
3692,Blindness and low vision,"Low vision, both eyes"
3693,Blindness and low vision,"Unqualified visual loss, both eyes"
3696,Blindness and low vision,"Blindness, one eye"
3697,Blindness and low vision,"Low vision, one eye"
3698,Blindness and low vision,"Unqualified visual loss, one eye"
3699,Blindness and low vision,Unspecified visual loss
3700,Keratitis,Corneal ulcer
3701,Keratitis,Dendritic keratitis
3702,Keratitis,Other superficial keratitis without conjunctivitis
3703,Keratitis,Certain types of keratoconjunctivitis
3704,Keratitis,Other and unspecified keratoconjunctivitis
3705,Keratitis,Interstitial and deep keratitis
3706,Keratitis,Corneal neovascularization
3708,Keratitis,Other forms of keratitis
3709,Keratitis,Unspecified
3710,Corneal opacity and other disorders of cornea,Corneal scars and opacities
3711,Corneal opacity and other disorders of cornea,Corneal pigmentations and deposits
3712,Corneal opacity and other disorders of cornea,Corneal oedema
3713,Corneal opacity and other disorders of cornea,Changes of corneal membranes
3714,Corneal opacity and other disorders of cornea,Corneal degenerations
3715,Corneal opacity and other disorders of cornea,Hereditary corneal dystrophies
3716,Corneal opacity and other disorders of cornea,Keratoconus
3717,Corneal opacity and other disorders of cornea,Other corneal deformities
3718,Corneal opacity and other disorders of cornea,Other corneal disorders
3719,Corneal opacity and other disorders of cornea,Unspecified
3720,Disorders of conjunctiva,Acute conjunctivitis
3721,Disorders of conjunctiva,Chronic conjunctivitis
3722,Disorders of conjunctiva,Blepharoconjunctivitis
3723,Disorders of conjunctiva,Other and unspecified conjunctivitis
3724,Disorders of conjunctiva,Pterygium
3725,Disorders of conjunctiva,Conjunctival degenerations and deposits
3726,Disorders of conjunctiva,Conjunctival scars
3727,Disorders of conjunctiva,Conjunctival vascular disorders and cysts
3728,Disorders of conjunctiva,Other disorders of conjunctiva
3729,Disorders of conjunctiva,Unspecified
3730,Inflammation of eyelids,Blepharitis
3731,Inflammation of eyelids,Hordeolum and other deep inflammation of eyelid
3732,Inflammation of eyelids,Chalazion
3733,Inflammation of eyelids,Noninfectious dermatoses of eyelid
3734,Inflammation of eyelids,Infective dermatitis of eyelid of types resulting in deformity
3735,Inflammation of eyelids,Other infective dermatitis of eyelid
3736,Inflammation of eyelids,Parasitic infestation of eyelid
3738,Inflammation of eyelids,Other
3739,Inflammation of eyelids,Unspecified
3740,Non inflammatory disorders of eyelids,Entropion and trichiasis of eyelid
3741,Non inflammatory disorders of eyelids,Ectropion
3742,Other disorders of eyelids,Lagophthalmos
3743,Non inflammatory disorders of eyelids,Ptosis of eyelid
3744,Non inflammatory disorders of eyelids,Other disorders affecting eyelid function
3745,Other disorders of eyelids,Degenerative disorders of eyelids and periocular area
3748,Non inflammatory disorders of eyelids,Other disorders of eyelid
3749,Non inflammatory disorders of eyelids,Unspecified
3750,Disorders of lacrimal system,Dacryoadenitis
3751,Disorders of lacrimal system,Other disorders of lacrimal gland
3752,Disorders of lacrimal system,Epiphora
3753,Disorders of lacrimal system,Acute and unspecified inflammation of lacrimal passages
3754,Disorders of lacrimal system,Chronic inflammation of lacrimal passages
3755,Disorders of lacrimal system,Stenosis and insufficiency of lacrimal passages
3756,Disorders of lacrimal system,Other changes of lacrimal passages
3758,Disorders of lacrimal system,Other disorders of lacrimal system
3759,Disorders of lacrimal system,Unspecified
3760,Disorders of the orbit,Acute inflammation of orbit
3761,Disorders of the orbit,Chronic inflammatory disorders of orbit
3762,Disorders of the orbit,Endocrine exophthalmos
3763,Disorders of the orbit,Other exophthalmic conditions
3764,Disorders of the orbit,Deformity of orbit
3765,Disorders of the orbit,Enophthalmos
3766,Disorders of the orbit,Retained (old) foreign body following penetrating wound of orbit
