Post,Count,First Year Used,Last Year Used,category,is_senior,match_rule,reason
Minister for Equalities (Department for International Development),1,2018,2018,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Business, Energy and Industrial Strategy) (Higher Education)",1,2018,2018,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (International Trade),1,2018,2018,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Treasury) (City),1,2018,2018,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Cabinet Office) (jointly with the Ministry of Housing, Communities and Local Government)",1,2019,2019,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Energy and Industrial Strategy) (Jointly with the Department for Education)",1,2019,2019,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister for Afghan resettlement,1,2021,2021,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Education) (Higher and Further Education),1,2021,2021,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Foreign, Commonwealth and Development Office) (jointly with Department for Levelling Up, Housing and Communities)",1,2021,2021,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister on Leave (Attorney General),1,2021,2021,ambiguous,False,regex:\battorney general\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Foreign, Commonwealth and Development Office) (Minister for Development and Africa)",1,2022,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Minister for Brexit Opportunities and Government Efficiency),1,2022,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Minister for Climate),1,2022,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Minister for Illegal Migration),1,2023,2023,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Minister for Legal Migration and Delivery),1,2023,2023,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister on Leave (Minister of State),1,2023,2023,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Development),1,2024,2024,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Minister for Women and Equalities),1,2024,2024,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Department of Health),2,1960,1998,ambiguous,False,default,No rule matched; review/override if needed.
Postmaster General (Post Office),2,1964,1968,ambiguous,False,default,No rule matched; review/override if needed.
Treasurer of Her Majesty's Household (HM Household),2,1966,1987,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Foreign and Commonwealth Office) (Overseas Development),2,1967,1976,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Ministry of Defence) (Defence Equipment),2,1967,1968,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Ministry of Transport),2,1969,1970,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department of Environment),2,1970,1974,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Posts and Telecommunications),2,1972,1974,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister for Transport,2,1974,1975,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Prices and Consumer Protection),2,1974,1976,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Consumer Affairs),2,1979,1982,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Solicitor-General Scotland,2,1979,1982,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Industry & Information Technology),2,1983,1984,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Privy Council Office) (Arts),2,1985,1990,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department of Health and Social Security) (Health),2,1986,1988,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Energy),2,1992,2005,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Defence) (Armed Services),2,1993,1994,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Energy and Industry),2,1994,1996,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Transport and the Regions) (The Regions)",2,1997,1999,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Scottish Office) (Education and Industry),2,1997,1998,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Advocate General for Scotland (Scotland Office),2,1999,1999,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Energy and Competitiveness in Europe),2,1999,2001,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lord Chamberlain (HM Household),2,2000,2006,ambiguous,False,default,No rule matched; review/override if needed.
Lords in Waiting (Whips),2,2000,2003,ambiguous,False,default,No rule matched; review/override if needed.
"Minister of State (Department for Culture, Media and Sport) (Arts)",2,2001,2003,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Education and Skills) (Schools),2,2001,2002,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (e-Commerce & Competitiveness),2,2001,2002,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Home Office) (Policing, Security and Community Safety)",2,2003,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Foreign and Commonwealth Office) (Trade) (also Department of Trade and Industry),2,2004,2005,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Education and Skills) (Schools and 14-19 Learners),2,2005,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Home Office) (Immigration, Citizenship and Nationality)",2,2005,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Industry and the Regions),2,2005,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Work and Pensions) (Pensions Reform),2,2006,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health) (NHS Reform),2,2006,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Enterprise and Regulatory Reform) (Business and Regulatory Reform)",2,2007,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Children, Schools and Families) (Schools and Learners)",2,2007,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Innovation, Universities and Skills) (Science and Innovation)",2,2007,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Work and Pensions) (Employment and Welfare Reform),2,2007,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Regional Affairs) (London),2,2007,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Regional Affairs) (South West),2,2007,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Regional Affairs) (West Midlands),2,2007,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Regional Affairs) (Yorkshire and the Humber),2,2007,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Food and Rural Affairs) (Farming and the Environment)",2,2008,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (HM Treasury) (also in the Home Office),2,2008,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills)",2,2009,2014,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lords Spokesperson (Department for International Development),2,2010,2011,ambiguous,False,default,No rule matched; review/override if needed.
Lords Spokesperson (Northern Ireland Office),2,2010,2012,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department for Transport) (Rail and Aviation),2,2010,2012,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Foreign and Commonwealth Office) (South East Asia/Far East, India and Nepal, Latin America, Falklands, Australasia and Pacific, Commonwealth)",2,2010,2012,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Policing) (Jointly with the Ministry of Justice),2,2010,2012,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lords Spokesperson (Department for Work and Pensions),2,2012,2013,ambiguous,False,default,No rule matched; review/override if needed.
"Minister of State (Department for Business, Innovation and Skills) (Jointly with the Department for Education)",2,2013,2014,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Work and Pensions) (Cabinet),2,2014,2015,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State for Portsmouth,2,2014,2014,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Financial Secretary to the Treasury and Paymaster General,2,2017,2019,ambiguous,False,regex:\bfinancial secretary\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Business, Energy and Industrial Strategy) (Energy and Clean Growth)",2,2017,2021,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Digital, Culture, Media and Sport) (Digital Policy)",2,2017,2018,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister for Equalities,2,2020,2022,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
COP26 President (Cabinet Office),2,2021,2022,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Cabinet Office) (Attends Cabinet),2,2022,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Cabinet Office) (Minister for Veterans' Affairs),2,2022,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Foreign, Commonwealth and Development Office) (Minister for Development)",2,2022,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Minister for Europe),2,2022,2024,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Minister for Housing),2,2022,2023,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lords Spokesperson (Equalities),2,2023,2024,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department for Business and Trade) (jointly with the Cabinet Office),2,2023,2024,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Aviation),3,1962,1965,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Public Building and Works),3,1966,1970,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Welsh Office),3,1966,1987,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry for the Arts),3,1973,1990,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Environment) (Housing),3,1983,1989,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Department of Environment) (Local Government),3,1990,1993,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department for Education and Employment),3,1995,1997,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Trade and Industry) (Trade) (also Foreign and Commonwealth Office),3,2003,2005,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Advocate General for Scotland,3,2006,2015,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department of Communities and Local Government) (Housing),3,2007,2008,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Communities and Local Government) (Housing),3,2009,2012,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Commercial Secretary (HM Treasury),3,2010,2015,ambiguous,False,default,No rule matched; review/override if needed.
"Minister of State (Department for Business, Innovation and Skills) (Business and Enterprise)",3,2010,2015,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills) (Universities and Science)",3,2010,2015,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Education) (Jointly with the Department for Business, Innovation and Skills)",3,2010,2014,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lords Spokesperson (Women & Equalities),3,2012,2014,ambiguous,False,default,No rule matched; review/override if needed.
Minister for Women,3,2014,2018,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Communities and Local Government),3,2014,2017,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Energy and Industrial Strategy) (Universities and Science) (Joint with the Department for Education)",3,2016,2019,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Exiting the European Union),3,2016,2017,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for International Development) (Joint with the Foreign and Commonwealth Office),3,2017,2018,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Paymaster General,3,2020,2022,ambiguous,False,regex:\bpaymaster general\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Board of Trade),4,1957,1968,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Overseas Development),4,1966,1977,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Technology),4,1966,1970,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Housing and Local Government),4,1967,1970,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Department of Environment) (Housing & Construction),4,1970,1979,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Civil Service Department),4,1974,1981,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Department of Environment) (Environment and Countryside),4,1989,1994,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Scotland Office),4,1995,2007,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health) (Public Health),4,1997,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Education and Skills) (Lifelong Learning, Further and Higher Education)",4,2001,2005,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Work and Pensions) (Work),4,2003,2006,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health) (Health Services),4,2003,2010,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lords Spokesperson (Cabinet Office),4,2010,2017,ambiguous,False,default,No rule matched; review/override if needed.
"Lords Spokesperson (Department for Culture, Media and Sport)",4,2010,2013,ambiguous,False,default,No rule matched; review/override if needed.
"Lords Spokesperson (Department of Business, Innovation and Skills)",4,2011,2014,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Foreign and Commonwealth Office) (Trade and Investment),4,2011,2016,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Solicitor-General,5,1970,1992,ambiguous,False,default,No rule matched; review/override if needed.
Solicitor General (Law Officers),5,1974,2005,ambiguous,False,regex:\bsolicitor general\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health and Social Security) (Social Security),5,1979,1987,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Foreign and Commonwealth Office) (Overseas Development),5,1979,1989,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Defence) (Minister for the Armed Forces),5,1983,2024,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Second Church Estates Commissioner,5,1987,2020,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department of Social Security),5,1988,1999,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Transport and the Regions)",5,1997,1999,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Justice) (jointly with Home Office),5,2010,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Innovation and Skills) (Trade and Investment)",5,2011,2016,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (London),5,2018,2021,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister for Intergovernmental Relations,5,2021,2025,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Business and Trade),5,2023,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Energy Security and Net Zero),5,2023,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Education and Science),6,1964,1990,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Attorney General (Law Officers),6,1974,2001,ambiguous,False,regex:\battorney general\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Immigration),6,2010,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Culture, Media and Sport)",6,2012,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Digital, Culture, Media and Sport)",6,2019,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health and Social Security),7,1957,1985,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Environment) (Local Government),7,1979,1989,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office) (Security),7,2010,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Paymaster General and Minister for the Cabinet Office,7,2010,2024,ambiguous,False,regex:\bpaymaster general\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Foreign and Commonwealth Office) (Joint with the Department for International Development),7,2017,2020,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Levelling Up, Housing and Communities)",7,2021,2024,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Science, Innovation and Technology)",7,2023,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Scottish Office),8,1967,1999,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Energy),8,1974,1996,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Industry),8,1974,1981,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Europe),8,1997,2009,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Energy and Climate Change),8,2008,2015,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
President of the Board of Trade,9,1947,2025,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Ministry of Defence) (Procurement),9,1971,1997,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lords in Waiting (HM Household),9,2001,2009,ambiguous,False,default,No rule matched; review/override if needed.
Attorney General,9,2007,2022,ambiguous,False,regex:\battorney general\b,Often Cabinet-adjacent but not consistently senior; review/override.
Comptroller (HM Household),10,1954,1986,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department of Employment),10,1970,1994,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for International Development),10,2003,2020,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Business, Energy and Industrial Strategy)",10,2016,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for International Trade),10,2016,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Housing, Communities and Local Government)",10,2018,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister for Women and Equalities,11,2010,2024,ambiguous,False,regex:\bminister for\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Department for Environment, Food and Rural Affairs)",11,2010,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health),12,1982,2016,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Foreign, Commonwealth and Development Office)",12,2020,2024,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister of State (Ministry of Agriculture, Fisheries and Food)",13,1974,1999,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Cabinet Office),13,1997,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Solicitor General (Attorney General's Office),13,2007,2025,ambiguous,False,regex:\battorney general\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (HM Treasury),14,1969,2020,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Foreign Secretary,15,1974,2025,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Education),15,2010,2024,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health and Social Care),15,2018,2024,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Exchequer Secretary (HM Treasury),17,1996,2024,ambiguous,False,default,No rule matched; review/override if needed.
Paymaster General (HM Treasury),18,1968,2019,ambiguous,False,regex:\bpaymaster general\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Trade and Industry),18,1970,1999,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Justice),18,2007,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Vice-Chamberlain (HM Household),20,1964,2019,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department for Work and Pensions),26,1999,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Home Secretary,27,1965,2025,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Ministry of Defence),28,1972,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Transport),29,1979,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Economic Secretary (HM Treasury),34,1947,2024,ambiguous,False,regex:\beconomic secretary\b,Often Cabinet-adjacent but not consistently senior; review/override.
Financial Secretary (HM Treasury),36,1950,2024,ambiguous,False,regex:\bfinancial secretary\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Northern Ireland Office),39,1972,2022,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Foreign and Commonwealth Office),43,1972,2019,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Home Office),47,1969,2025,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Parliamentary Secretary (Ministry of Works),1,1945,1945,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Ministry of Food),1,1950,1950,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Deputy Chief Whip,1,1952,1952,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (War Office),1,1957,1957,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Colonial Office),1,1958,1958,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary and Financial Secretary (War Office),1,1958,1958,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Department of Health),1,1962,1962,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Air Ministry),1,1962,1962,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Assistant Postmaster General (Post Office),1,1963,1963,non_senior,False,regex:\bassistant\b(?!\s*secretary of state),Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Education and Science) (Sport),1,1964,1964,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Lord Commissioner (Whip),1,1966,1966,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Technology),1,1966,1966,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
