name,description,url,release_date
Gender identity by unpaid carer status,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and unpaid carer status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM191,
General health,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by the state of their general health. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS037,
General health by NS-SEC,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by general health and by NS-SEC. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM044,
General health by ability to speak Welsh by age,"This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in Wales by general health, by ability to speak Welsh, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM156,
General health by car or van availability by sex,"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by general health, car or van availability, and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM042,
General health by ethnic group by age,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by general health, by ethnic group, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM043,
General health by religion by age,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by general health, by religion, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM045,
General health by tenure by age,"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by general health, tenure, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM046,
"General health, age-standardised proportions","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by the state of their general health. The estimates are as at Census Day, 21 March 2021. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",https://api.beta.ons.gov.uk/v1/datasets/TS037ASP,
Generational income: The effects of taxes and benefits,"The effects of direct and indirect taxation and benefits received in cash or kind on household income, across the generations and by age.

This data is estimated by combining multiple years of the Living Costs and Food Survey from 1978 to financial year ending March 2017 and the Household Finances Statistics, from financial year ending 2018 to financial year ending 2021 with the exception of 1979 and 1981. All financial amounts are adjusted for inflation using the Consumer Prices Index including owner occupiers’ housing costs (CPIH) excluding Council Tax, to their financial year ending March 2018. For example, the mean disposable income for those aged 35 and born in the 1970’s (£35,752) is estimated by taking the average (in real terms) of the household disposable income for these people across the combined dataset.",https://api.beta.ons.gov.uk/v1/datasets/generational-income,
Highest level of qualification,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by their highest level of qualification. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS067,
Highest level of qualification by country of birth,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by country of birth. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM047,
Highest level of qualification by disability,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM052,
Highest level of qualification by economic activity status,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM048,
Highest level of qualification by ethnic group,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM049,
Highest level of qualification by household composition,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales by highest level of qualification and by household composition. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM051,
Highest level of qualification by main language,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by main language. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM053,
Highest level of qualification by religion,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM054,
Highest level of qualification by sex,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM055,
Hours worked,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by the number of hours they worked per week. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS059,
Hours worked by sex by age,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by hours worked, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM056,
House price statistics for small areas in England and Wales,"Summary statistics for housing transactions by local authority in England and Wales, on an annual basis, updated quarterly using HM Land Registry Price Paid Data. Select values from the Year and Month dimensions for data for a 12-month period ending that month and year (e.g. selecting June and 2018 will return the twelve months to June 2018).",https://api.beta.ons.gov.uk/v1/datasets/house-prices-local-authority,
Household Reference Person indicator of previous service in UK armed forces,"This dataset provides Census 2021 estimates that classify households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces. The estimates are as at Census Day, 21 March 2021.

Following analysis after publishing topic summaries data, we released data at extra geography levels for some datasets.",https://api.beta.ons.gov.uk/v1/datasets/TS074,
Household composition,"This dataset provides Census 2021 estimates that classify households in England and Wales by the relationships between household members (household composition). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS003,
Household composition by age,"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by household composition, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM057,
Household composition by ethnic group of Household Reference Person,"This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by household composition and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM058,
Household composition by number of bedrooms,"This dataset provides Census 2021 estimates that classify households in England and Wales by household composition and by number of bedrooms. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM059,
Household composition by number of people in household with a disability,"This dataset provides Census 2021 estimates that classify households in England and Wales by household composition and by number of people in household with a disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM060,
Household composition by religion of Household Reference Person,"This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by household composition and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM061,
Household language,"This dataset provides Census 2021 estimates that classify households in England and Wales by the combination of adults and children within a household that have English (English or Welsh in Wales) as a main language. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS025,
Household size,"This dataset provides Census 2021 estimates that classify all households in England and Wales by household size. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS017,
Household size by number of rooms,"This dataset provides Census 2021 estimates that classify households in England and Wales by household size and by number of rooms. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM202,
Households by deprivation dimensions,"This dataset provides Census 2021 estimates that classify households in England and Wales by four dimensions of deprivation: Employment, education, health and disability, and household overcrowding. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS011,
Index of Private Housing Rental Prices,An experimental price index tracking the prices paid for renting property from private landlords in the United Kingdom,https://api.beta.ons.gov.uk/v1/datasets/index-private-housing-rental-prices,
Industry,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by industry. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS060,
Industry by age,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by industry and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM062,
Industry by economic activity status,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by industry and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM063,
Industry by ethnic group,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by industry and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM064,
Industry by sex,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by industry and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM065,
Legal partnership status,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by their legal partnership status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS002,
Legal partnership status by sex by age,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by legal partnership status, by sex and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM074,
Legal partnership status by sex by age - Communal establishment residents,"This dataset provides Census 2021 estimates that classify usual residents in communal establishments in England and Wales by legal partnership status, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM203,
Length of residence,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their length of residence in the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS016,
Life Expectancy by Local Authority,Subnational trends in the average number of years people will live beyond their current age measured by “period life expectancy”.,https://api.beta.ons.gov.uk/v1/datasets/life-expectancy-by-local-authority,
Living arrangements,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales by their living arrangements. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS010,
Living arrangements by age - Household Reference Person,"This dataset provides Census 2021 estimates that classify the Household Reference Persons aged 16 years and over in England and Wales by living arrangements and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM066,
Living arrangements by sex by age,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales by living arrangements, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM067,
"Local authority ageing statistics, based on annual mid-year population estimates","Indicators included have been derived from the published 2019 mid-year population estimates for the UK, England, Wales, Scotland and Northern Ireland. These are the number of persons and percentage of the population aged 65 years and over, 85 years and over, 0 to 15 years, 16 to 64 years, 16 years to State Pension age, State Pension age and over, median age and the Old Age Dependency Ratio (the number of people of State Pension age per 1000 of those aged 16 years to below State Pension age).

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which was published in July 2020. The tool enables users to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu.",https://api.beta.ons.gov.uk/v1/datasets/ageing-population-estimates,
"Local authority ageing statistics, household projections for older people","Projected indicators included are derived from the published 2018-based household projections for England and 2018-based household projections for Scotland for the years 2018 up to 2043. The indicators are the percentage of one-person households, in which the householder is aged 65 years and over and the percentage of one-person households, in which the householder is aged 85 years and over. This dataset has been produced by the Ageing Analysis Team for inclusion in the subnational ageing tool, which was published on July 20, 2020 (see link in Related datasets). The tool is interactive, and users can compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. Note on data availability: England, Wales, Scotland and Northern Ireland independently publish subnational household projections. Each country publishes a different set of age breakdowns and only England and Scotland provide the breakdowns required to calculate the indicators included above.",https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-in-single-households,
"Local authority ageing statistics, net internal migration people aged 65 and over and 85 and over","Figures presented show the movement of older people between local authorities and regions. Both indicators included in this dataset have been derived from the published 2019 internal migration dataset for England and Wales. The numbers presented are the net number of people aged 65 years and over and 85 years and over entering/ leaving the local authority or region in the 12-month period stated.

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which was published in July 2020. The tool is interactive, and users are able to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu.",https://api.beta.ons.gov.uk/v1/datasets/older-people-net-internal-migration,
"Local authority ageing statistics, older people economic activity","Indicators included are economic activity and employment rates for those aged 50-64 years, by country, region and local authority. Both economic activity and employment rates are displayed as percentages. These have been calculated from the ONS Annual Population Survey and have been extracted from NOMIS.

https://www.nomisweb.co.uk/

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which will be published in July 2020. The tool will be interactive, and users will be able to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. 

Note on update frequency: NOMIS provide quarterly updates on both indicators. For consistency with other indicators presented in the subnational ageing tool, these will be updated on an annual basis.",https://api.beta.ons.gov.uk/v1/datasets/older-people-economic-activity,
"Local authority ageing statistics, population projections for older people","Projected indicators included are derived from the published 2018-based subnational population projections for England, Wales, Scotland and Northern Ireland up to the year 2043. The indicators are the projected percentage of the population aged 65 years and over, 85 years and over, 0 to 15 years, 16 to 64 years, 16 years to State Pension age, State Pension age and over, median age and the Old Age Dependency Ratio (the number of people of State Pension age per 1000 of those aged 16 years to below State Pension age). 

This dataset has been produced by the Ageing Analysis Team for inclusion in the subnational ageing tool, which was published on July 20, 2020 (see link in Related datasets). The tool is interactive, and users can compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. 

Note on data sources: England, Wales, Scotland and Northern Ireland independently publish subnational population projections and the data available here are a compilation of these datasets. The ONS publish national level data for the UK, England, Wales and England & Wales, which has been included. National level data for Scotland and Northern Ireland have been taken from their subnational population projections datasets.",https://api.beta.ons.gov.uk/v1/datasets/ageing-population-projections,
"Local authority ageing statistics, projected sex ratios for older people","Projected indicators included are derived from the published 2018-based subnational population projections for England, Wales, Scotland and Northern Ireland up to the year 2043. The indicators are the projected sex ratio for those aged 65 years and over and the projected sex ratio for those aged 85 years and over. A sex ratio shows the number of males in the population for every 100 females.

This dataset has been produced by the Ageing Analysis Team for inclusion in the subnational ageing tool, which was published on July 20, 2020 (see link in Related datasets). The tool is interactive, and users can compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. 

Note on data sources: England, Wales, Scotland and Northern Ireland independently publish subnational population projections and the data available here are a compilation of these datasets. The ONS publish national level data for the UK, England, Wales and England & Wales, which has been included. National level data for Scotland and Northern Ireland have been taken from their subnational population projections datasets.",https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-sex-ratios,
"Local authority ageing statistics, sex ratios for people aged 65 and over and 85 and over","Both indicators included have been derived from the published 2019 mid-year population estimates for the UK, England, Wales, Scotland and Northern Ireland. These are sex ratios for people aged 65 years and over and 85 years and over. A sex ratio shows the number of males in the population for every 100 females.

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which was published in July 2020. The tool enables users to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu.",https://api.beta.ons.gov.uk/v1/datasets/older-people-sex-ratios,
Main language (detailed),"This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in England and Wales by their main language. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS024,
Method used to travel to work,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their method used to travel to work (2001 specification). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS061,
Method used to travel to work by age,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by method used to travel to work (2001 specification) and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM075,
Method used to travel to work by car or van availability,"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by method used to travel to work (2001 specification) and by car or van availability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM076,
Method used to travel to work by distance travelled to work,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by method used to travel to work (2001 specification) and by distance travelled to work. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM077,
Method used to travel to work by industry,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales in employment the week before the census by method used to travel to work (2001 specification) and by industry. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM078,
Method used to travel to work by occupation,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales in employment the week before the census by method used to travel to work (2001 specification) and by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM079,
Migrant Indicator,"This dataset provides Census 2021 estimates that classify usual residents aged one year and over in England and Wales by their address one year ago, in order to determine their status as a migrant from within or outside the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS019,
Multi religion households,"This dataset provides Census 2021 estimates that classify households in England and Wales by multi religion households. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS075,
Multi-language households by ethnic group of Household Reference Person,"This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by whether one or multiple languages are spoken, and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM080,
Multi-language households by occupation of Household Reference Person,"This dataset provides Census 2021 estimates that classify Household Reference Persons aged 16 years and over in employment the week before the census in England and Wales by whether one or multiple languages are spoken in the household by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM081,
Multi-language households by tenure,"This dataset provides Census 2021 estimates that classify households in England and Wales by whether one or multiple languages are spoken, and by tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM082,
Multi-religion households by ethnic group of Household Reference Person,"This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by whether residents have identified with one or multiple religions in a household, by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM083,
Multi-religion households by occupation of Household Reference Person,"This dataset provides Census 2021 estimates that classify Household Reference Persons aged 16 years and over in employment the week before the census in England and Wales by whether residents have identified with one or multiple religions in the household, by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM084,
Multi-religion households by tenure,"This dataset provides Census 2021 estimates that classify households in England and Wales by whether residents have identified with one or multiple religions, and by tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM085,
Multiple ethnic group,"This dataset provides Census 2021 estimates that classify households in England and Wales by the diversity in ethnic group of household members in different relationships. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS023,
Multiple main languages in household,"This dataset provides Census 2021 estimates that classify households in England and Wales by the combination of household members speaking the same or different main languages. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS026,
NS-SEC,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by National Statistics Socio-economic Classification (NS-SEC). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS062,
NS-SEC by age,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by NS-SEC and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM090,
NS-SEC by economic activity status,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by NS-SEC and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM091,
NS-SEC by religion,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by NS-SEC and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM092,
NS-SEC by sex,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by NS-SEC and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM093,
NS-SEC of Household Reference Person by household composition,"This dataset provides Census 2021 estimates that classify Household Reference Persons aged 16 years and over in England and Wales by NS-SEC of Household Reference Person and by household composition. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM094,
National Identity by sex by age,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by national identity, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM089,
National identity (detailed),"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their national identity. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS028,
National identity - UK,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their national identity. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS027,
National identity by age,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by national identity and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM086,
National identity by ethnic group,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by national identity and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM087,
National identity by religion,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by national identity and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM088,
Number of Dwellings,"This dataset provides Census 2021 estimates on the number of dwellings in England and Wales. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM204,
Number of Households,"This dataset provides Census 2021 estimates on the number of households in England and Wales. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS041,
Number of bedrooms,"This dataset provides Census 2021 estimates that classify all household spaces with at least one usual resident in England and Wales by number of bedrooms. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS050,
Number of bedrooms by accommodation type by age of dependent children,"This dataset provides Census 2021 estimates that classify usually resident dependent children in households in England and Wales by number of bedrooms, by accommodation type and, by age of dependent children. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM095,
Number of bedrooms by tenure by age of dependent children,"This dataset provides Census 2021 estimates that classify dependent children in households in England and Wales by number of bedrooms by tenure, and by age of dependent children. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM096,
Number of disabled people in the household,"This dataset provides Census 2021 estimates that classify households in England and Wales by the number of disabled people in the household. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS040,
Number of dwellings that are houses in multiple occupation (HMO),"This dataset provides Census 2021 estimates that classify dwellings in England and Wales by number of dwellings that are small and large HMOs. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM192,
Number of households in houses in multiple occupation (HMO) by accommodation type,"This dataset provides Census 2021 estimates that classify households in England and Wales by dwellings that are HMOs by accommodation type. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM193,
Number of households in houses in multiple occupation (HMO) by type of central heating in household,"This dataset provides Census 2021 estimates that classify households in England and Wales by dwellings that are HMOs by type of central heating in household. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM194,
Number of households in houses in multiple occupation (HMO) by type of occupancy rating (bedrooms),"This dataset provides Census 2021 estimates that classify households in England and Wales by number that are HMOs by occupancy rating (bedrooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM195,
Number of multi-generational households by bedroom occupancy ratings,"This dataset provides Census 2021 estimates that classify households in England and Wales by number of multi-generational households by bedroom occupancy rating. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM198,
Number of multi-generational households by household tenure,"This dataset provides Census 2021 estimates that classify households in England and Wales by number of multi-generational households by household tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM197,
Number of non-UK born short-term residents by NS-SEC,"This dataset provides Census 2021 estimates that classify non-UK born short-term residents aged 16 years and over in England and Wales by NS-SEC. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST012,
Number of non-UK born short-term residents by country of birth,"This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by country of birth. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST004,
Number of non-UK born short-term residents by economic activity,"This dataset provides Census 2021 estimates that classify non-UK born short-term residents aged 16 years and over in England and Wales by economic activity. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST009,
Number of non-UK born short-term residents by ethnicity,"This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by ethnic group. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST003,
Number of non-UK born short-term residents by general health,"This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by general health. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST007,
Number of non-UK born short-term residents by industry,"This dataset provides Census 2021 estimates that classify non-UK born short-term residents aged 16 years and over in employment the week before the census in England and Wales by industry. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST010,
Number of non-UK born short-term residents by main language,"This dataset provides Census 2021 estimates that classify non-UK born short-term residents aged 3 years and over in England and Wales by main language. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST005,
Number of non-UK born short-term residents by occupation,"This dataset provides Census 2021 estimates that classify non-UK born short-term residents aged 16 years and over in employment the week before the census in England and Wales by occupation. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST011,
Number of non-UK born short-term residents by passports held (detailed),"This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by passports held. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST006,
Number of non-UK born short-term residents by residence type,"This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by residence type. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST001,
