icd_version,cause,cause_description,harmonized_category,harmonized_category_name,classification_confidence
ICD-6 (1950-1957),8110,Motor vehicle traffic accident involving collision with street car,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8120,Motor vehicle traffic accident to pedestrian,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8130,Motor vehicle traffic accident to pedal cyclist,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8140,"Motor vehicle traffic accident to rider or passenger of motorcycle, in collision with non-motor vehicle or object",injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8150,Motor vehicle traffic accident to rider or passenger of motorcycle in collison with other motor vehicle,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8160,Other motor vehicle traffic accident involving two or more motor vehicles,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8170,Motor vehicle traffic accident to occupant of motor vehicle in collision with pedestrian or pedal cycle,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8180,Motor vehicle traffic accident involving collision with animal or animal-drawn vehicle,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8190,Motor vehicle traffic accident involving collision with fixed or unspecified object,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8200,Motor vehicle traffic accident while boarding and alighting,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8210,Motor vehicle traffic accident to rider of motorcycle not involving collsion,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8220,Motor vehicle traffic accident involving overturning in roadway,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8230,Motor vehicle traffic accident involving running off roadway,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8240,Other non-collision motor vehicle traffic accident,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8250,Motor vehicle traffic accident of unspecified nature,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8300,Motor vehicle non-traffic accident to pedestrian,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8310,Motor vehicle non-traffic accident to pedal cyclist,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8320,Motor vehicle non-traffic accident to rider or passenger of motorcycle,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8330,Other motor vehicle non-traffic accident involving two or more motor vehicles,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8340,Motor vehicle non-traffic accident while boarding and alighting,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8350,Motor vehicle non-traffic accident of other and unspecified nature,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8400,Street car accident to pedestrian,Accident,Accidental Death,medium
ICD-6 (1950-1957),8410,"Other street car accident, except collision with motor vehicle",injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8420,Accident to pedestrian caused by pedal cycle,Accident,Accidental Death,medium
ICD-6 (1950-1957),8430,Accident to rider of pedal cycle not involving collision with motor vehicle,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8440,Accident to pedestrian caused by other non-motor road vehicle,Accident,Accidental Death,medium
ICD-6 (1950-1957),8450,Other non-motor road vehicle accidents,Accident,Accidental Death,medium
ICD-6 (1950-1957),8500,Submersion of occupant of small boat,other,Other and Unclassified,low
ICD-6 (1950-1957),8510,Other water transport injury by submersion,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8520,Fall on stairs and ladders in water transport,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8530,Other falls from one level to another in water transport,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8540,Falls on same level in water transport,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8550,Unspecified falls in water transport,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8560,Machinery accident in water transport,Accident,Accidental Death,medium
ICD-6 (1950-1957),8570,Other specific accidents in water transport,Accident,Accidental Death,medium
ICD-6 (1950-1957),8580,Water transport accident of unspecified cause,Accident,Accidental Death,medium
ICD-6 (1950-1957),8600,Accident to personnel in military aircraft,Accident,Accidental Death,medium
ICD-6 (1950-1957),8610,"Injury to occupant by accident to commercial ""transport"" aircraft",injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8620,"Other injury in commercial ""transport"" aircraft",injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8630,Injury to occupant by accident to other aircraft,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8640,Aircraft accident at airfield to person not in aircraft,Accident,Accidental Death,medium
ICD-6 (1950-1957),8650,Aircraft accident elsewhere to person not in aircraft,Accident,Accidental Death,medium
ICD-6 (1950-1957),8660,Other and unspecified aircraft accidents,Accident,Accidental Death,medium
ICD-6 (1950-1957),8700,Accidental poisoning by morphine and other opium derivaties,Drugs,Drug-Related Deaths,override
ICD-6 (1950-1957),8710,Accidental poisoning by barbituric acid and deriviatives,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8720,Accidental poisoning by aspirin and salicylates,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8730,Accidental poisoning by bromides,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8740,Accidental poisoning by other analgesic and soporific drugs,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8750,Accidental poisoning by sulfonamides,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8760,Accidental poisoning by strychnine,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8770,"Accidental poisoning by belladonna, hyoscine and atropine",injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8780,Accidental poisoning by other and unspecified drugs,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8790,Accidental poisoning by noxious foodstuffs,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8800,Accidental poisoning by alcohol,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8810,Accidental poisoning by petroleum products,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8820,Accidental poisoning by industrial solvents,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8830,"Accidental poisoning by corrosive aromatics, acids, and caustic alkalis",injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8840,Accidental poisoning by mercury and its compounds,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8850,Accidental poisoning by lead and its compounds,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8860,"Accidental poisoning by arsenic and antimony, and their compounds",injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8870,Accidental poisoning by fluorides,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8880,Accidental poisoning by other and unspecified solid and liquid substances,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8900,Accidental poisoning by utility (illuminating) gas,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8910,Accidental poisoning by motor vehicle exhaust gas,injury_poisoning,"Injury, Poisoning and External Causes",high
ICD-6 (1950-1957),8920,Accidental poisoning by other carbon monoxide gas,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8930,Accidental poisoning by cyanide gas,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8940,Accidental poisoning by other specified gases and vapours,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),8950,Accidental poisoning by unspecified gases and vapours,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9000,Fall on stairs,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9010,Fall from ladders,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9020,Other falls from one level to another,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9030,Fall on same level,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9040,Unspecified falls,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9100,Blow from falling on object,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9110,Accident caused by vehicle,Accident,Accidental Death,medium
ICD-6 (1950-1957),9120,Accident caused by machinery,Accident,Accidental Death,medium
ICD-6 (1950-1957),9130,Accident caused by cutting and piercing instruments,Accident,Accidental Death,medium
ICD-6 (1950-1957),9140,Accident caused by electric current,Accident,Accidental Death,medium
ICD-6 (1950-1957),9150,Accident caused by explosion of pressure vessel,Accident,Accidental Death,medium
ICD-6 (1950-1957),9160,Accident caused by fire and explosion of combustible material,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9170,"Accident caused by hot substance, corrosive liquid, and steam",Accident,Accidental Death,medium
ICD-6 (1950-1957),9190,Accident caused by firearm,eye_ear,Diseases of Eye and Ear,medium
ICD-6 (1950-1957),9200,Foreign body entering eye and adnexa,eye_ear,Diseases of Eye and Ear,medium
ICD-6 (1950-1957),9210,Inhalation and ingestion of food causing obstruction or suffocation,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9220,Inhalation and ingestion of other object causing obstruction or suffocation,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9230,Foreign body entering other orifice,other,Other and Unclassified,low
ICD-6 (1950-1957),9240,Accidental mechanical suffocation in bed and cradle,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9250,Accidental mechanical suffocation in other and unspecified circumstances,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9260,Lack of care of infants under 1 year of age,eye_ear,Diseases of Eye and Ear,medium
ICD-6 (1950-1957),9270,Accidents caused by bites and stings of venomous animals and insects,Accident,Accidental Death,medium
ICD-6 (1950-1957),9280,Other accidents caused by animals,Accident,Accidental Death,medium
ICD-6 (1950-1957),9290,Accidental drowning and submersion,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9300,High and low air pressure,other,Other and Unclassified,low
ICD-6 (1950-1957),9310,Excessive heat and insolation,other,Other and Unclassified,low
ICD-6 (1950-1957),9320,Excessive cold,other,Other and Unclassified,low
ICD-6 (1950-1957),9330,"Hunger, thirst, and exposure",other,Other and Unclassified,low
ICD-6 (1950-1957),9340,Cataclysm,other,Other and Unclassified,low
ICD-6 (1950-1957),9350,Lightning,other,Other and Unclassified,low
ICD-6 (1950-1957),9360,Other and unspecified accidents,Accident,Accidental Death,medium
ICD-6 (1950-1957),9400,Generalized vaccinia following vaccination,other,Other and Unclassified,low
ICD-6 (1950-1957),9410,Postvaccinal encephalitis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),9420,Other complications of smallpox vaccination,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),9430,Post-immunization jaundice and hepatitis,digestive,Diseases of the Digestive System,medium
ICD-6 (1950-1957),9440,Other complications of prophylactic inoculation,other,Other and Unclassified,low
ICD-6 (1950-1957),9450,Complications of anaesthesia for non-therapeutic purpose,other,Other and Unclassified,low
ICD-6 (1950-1957),9460,Other complications due to non-therapeutic medical and surgical procedures,other,Other and Unclassified,low
ICD-6 (1950-1957),9500,Therapeutic misadventure in surgical treatment,other,Other and Unclassified,low
ICD-6 (1950-1957),9510,Therapeutic misadventure in infusion or transfusion,other,Other and Unclassified,low
ICD-6 (1950-1957),9520,Therapeutic misadventure in local applications,other,Other and Unclassified,low
ICD-6 (1950-1957),9530,Therapeutic misadventure in administration of drugs and biologicals,other,Other and Unclassified,low
ICD-6 (1950-1957),9540,Therapeutic misadventure in anaesthesia,other,Other and Unclassified,low
ICD-6 (1950-1957),9550,Other and unspecified therapeutic misadventure,ill_defined,"Symptoms, Signs and Ill-Defined Conditions",medium
ICD-6 (1950-1957),9560,Late complication in surgical operation,other,Other and Unclassified,low
ICD-6 (1950-1957),9590,Late complications of other forms of treatment,other,Other and Unclassified,low
ICD-6 (1950-1957),9600,Late effect of motor vehicle accident,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9610,Late effect of accidental poisoning,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9620,Late effect of other accidental injury,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9630,Late effect of self-inflicted injury,injury_poisoning,"Injury, Poisoning and External Causes",medium
ICD-6 (1950-1957),9650,Late effect of injuries due to war operations,War,War and War-Related Deaths,override
ICD-6 (1950-1957),9700,Suicide and self-inflicted poisoning by analgesic and soporific substances,Suicide,Suicide and Self-Inflicted Injury,override
ICD-6 (1950-1957),9710,Suicide and self-inflicted poisoning by other solid and liquid substances,Suicide,Suicide and Self-Inflicted Injury,override
ICD-6 (1950-1957),9720,Suicide and self-inflicted poisoning by gases in domestic use,Suicide,Suicide and Self-Inflicted Injury,override
ICD-6 (1950-1957),9730,Suicide and self-inflicted poisoning by other gases,Suicide,Suicide and Self-Inflicted Injury,override
ICD-6 (1950-1957),9740,Suicide and self-inflicted injury by hanging and strangulation,Suicide,Suicide and Self-Inflicted Injury,override
ICD-6 (1950-1957),9750,Suicide and self-inflicted injury by submersion (drowning),Suicide,Suicide and Self-Inflicted Injury,override
ICD-6 (1950-1957),9760,Suicide and self-inflicted injury by firearms and explosives,Suicide,Suicide and Self-Inflicted Injury,override
ICD-6 (1950-1957),9770,Suicide and self-inflicted by cutting and piercing instruments,Suicide,Suicide and Self-Inflicted Injury,override
ICD-6 (1950-1957),9780,Suicide and self-inflicted injury by jumping from high place,Suicide,Suicide and Self-Inflicted Injury,override
ICD-6 (1950-1957),9790,Suicide and self-inflicted by other and unspecified means,Suicide,Suicide and Self-Inflicted Injury,override
ICD-6 (1950-1957),9800,Non-accidental poisoning by another person,Homicide,Homicide and Assault,override
ICD-6 (1950-1957),9810,Assault by firearm and explosive,Homicide,Homicide and Assault,override
ICD-6 (1950-1957),9820,Assault by cutting and piercing instruments,Homicide,Homicide and Assault,override
ICD-6 (1950-1957),9830,Assault by other means,Homicide,Homicide and Assault,override
ICD-6 (1950-1957),9840,Injury by intervention of police,Homicide,Homicide and Assault,override
ICD-6 (1950-1957),9850,Execution,other,Other and Unclassified,low
ICD-6 (1950-1957),9950,Injury due to war operations by explosion of artillery shell,War,War and War-Related Deaths,override
ICD-6 (1950-1957),9990,Injury due to war operations but occurring after cessation of hostilities,War,War and War-Related Deaths,override
ICD-6 (1950-1957),0010,Respiratory tuberculosis with mention of occupational disease of lung,respiratory,Diseases of the Respiratory System,high
ICD-6 (1950-1957),0020,Pulmonary tuberculosis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0030,Pleural tuberculosis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0031,Pleural tuberculosis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0040,Primary tuberculosis complex with symptoms,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0050,Tracheobronchial glandular tuberculosis with symptoms,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0070,Other respiratory tuberculosis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0100,Tuberculosis of meninges and central nervous system,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0110,"Tuberculosis of intestines, peritoneum, and mesenteric glands",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0120,"Tuberculosis of bones and joints, active or unspecified",musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,high
ICD-6 (1950-1957),0121,"Tuberculosis of bones and joints, active or unspecified",musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,high
ICD-6 (1950-1957),0130,Late effects of tuberculosis of bones and joints,musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,high
ICD-6 (1950-1957),0140,Tuberculosis of skin and subcutaneous cellular tissue,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0150,Tuberculosis of lymphatic system,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0160,Tuberculosis of genito-urinary system,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0170,Tuberculosis of adrenal glands,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0180,Tuberculosis of other organs,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0190,Disseminated tuberculosis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0192,Disseminated tuberculosis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0200,Congenital syphilis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0210,Early syphilis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0220,Aneurysm of aorta,circulatory,Diseases of the Circulatory System,medium
ICD-6 (1950-1957),0230,Other cardiovascular syphilis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0240,Tabes dorsalis,nervous_system,Diseases of the Nervous System,medium
ICD-6 (1950-1957),0250,General paralysis of insane,nervous_system,Diseases of the Nervous System,medium
ICD-6 (1950-1957),0260,Other syphilis of central nervous system,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0270,Other forms of late syphilis,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0290,"Syphilis, unqualified",infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0300,Acute or unspecified gonorrhoea,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0320,Gonococcal infection of joint,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0340,Gonococcal infection of other sites,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0350,Late effects of gonococcal infection,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0400,Typhoid fever,infectious_diseases,Infectious and Parasitic Diseases,high
ICD-6 (1950-1957),0410,Paratyphoid fever,infectious_diseases,Infectious and Parasitic Diseases,high
ICD-6 (1950-1957),0420,Other Salmonella infections,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0440,Brucellosis (undulant fever),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0450,Bacillary dysentery,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0460,Amoebiasis,other,Other and Unclassified,low
ICD-6 (1950-1957),0480,Unspecified forms of dysentery,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0490,Food poisoning (infection and intoxication),injury_poisoning,"Injury, Poisoning and External Causes",high
ICD-6 (1950-1957),0500,Scarlet fever,infectious_diseases,Infectious and Parasitic Diseases,high
ICD-6 (1950-1957),0510,Streptococcal sore throat,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0520,Erysipelas,skin,Diseases of the Skin,medium
ICD-6 (1950-1957),0530,Septicaemia and pyaemia,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0540,Bacterial toxaemia,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0550,Diphtheria,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0560,Whooping cough,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0570,Meningococcal infections,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0610,Tetanus,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0630,Gas gangrene,circulatory,Diseases of the Circulatory System,medium
ICD-6 (1950-1957),0640,Other bacterial diseases,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0700,Vincent's infection,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),0720,Leptospirosis,other,Other and Unclassified,low
ICD-6 (1950-1957),0740,Other spirochaetal and leptospirochaetal infections,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),1120,Falciparum malaria (malignant tertian),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),1160,Other and unspecified forms of malaria,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),1220,Other protozoal diseases,other,Other and Unclassified,low
ICD-6 (1950-1957),1230,Schistosomiasis,other,Other and Unclassified,low
ICD-6 (1950-1957),1250,Hydatid disease,other,Other and Unclassified,low
ICD-6 (1950-1957),1260,Other cestode infestation,other,Other and Unclassified,low
ICD-6 (1950-1957),1270,Filariasis,other,Other and Unclassified,low
ICD-6 (1950-1957),1310,Dermatophytosis,skin,Diseases of the Skin,medium
ICD-6 (1950-1957),1320,Actinomycosis,other,Other and Unclassified,low
ICD-6 (1950-1957),1340,Other fungus infections,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),1350,Scabies,other,Other and Unclassified,low
ICD-6 (1950-1957),1360,Pediculosis,other,Other and Unclassified,low
ICD-6 (1950-1957),1380,Other infective and parasitic diseases,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-6 (1950-1957),1400,Malignant neoplasm of lip,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1410,Malignant neoplasm of tongue,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1420,Malignant neoplasm of salivary gland,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1430,Malignant neoplasm of floor of mouth,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1440,Malignant neoplasm of other parts of mouth and mouth unspecified,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1450,Malignant neoplasm of oral mesopharynx,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1460,Malignant neoplasm of nasopharynx,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1470,Malignant neoplasm of hypopharynx,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1480,"Malignant neoplasm of pharynx, unspecified",neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1500,Malignant neoplasm of oesophagus,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1510,Malignant neoplasm of stomach,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1520,"Malignant neoplasm of small intestine, including duodenum",neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1530,"Malignant neoplasm of large intestine, except rectum",neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1540,Malignant neoplasm of rectum,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1550,Malignant neoplasm of biliary passages and of liver (stated to be primary site),neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1560,Malignant neoplasm of liver (secondary and unspecified),neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1570,Malignant neoplasm of pancreas,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1580,Malignant neoplasm of peritoneum,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1590,Malignant neoplasm of unspec. digestive organs,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1600,"Malignant neoplasm of nose, nasal cavities, middle ear, and accessory sinuses",neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1610,Malignant neoplasm of larynx,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1620,"Malignant neoplasm of trachea, and of bronchus and lung specified as primary",neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1630,"Malignant neoplasm of lung and of bronchus, unspecified as to whether primary or secondary",neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1640,Malignant neoplasm of mediastinum,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1650,Malignant neoplasm of thoracic organs (sec.),neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1700,Malignant neoplasm of breast,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1710,Malignant neoplasm of cervix uteri,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1720,Malignant neoplasm of corpus uteri,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1730,"Malignant neoplasm of other parts of uterus, inc. chorionepithelioma",neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1740,"Malignant neoplasm of uterus, unspecified",neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1750,"Malignant neoplasm of ovary, fallopian tube, and broad ligament",neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1760,Malignant neoplasm of other and unspec. female genital organs,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1770,Malignant neoplasm of prostate,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1780,Malignant neoplasm of testis,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1790,Malignant neoplasm of other and unspec. male genital organs,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1800,Malignant neoplasm of kidney,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1810,Malignant neoplasm of bladder and other urinary organs,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1900,Malignant melanoma of skin,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1910,Other malignant neoplasm of skin,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1920,Malignant neoplasm of eye,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1930,Malignant neoplasm of brain and other parts of nervous system,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1940,Malignant neoplasm of thyroid gland,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1950,Malignant neoplasm of other endocrine glands,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1960,Malignant neoplasm of bone (incl. jaw bone),neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1970,Malignant neoplasm of connective tissue,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1980,Secondary and unspec. malignant neoplasm of lymph nodes,neoplasms,Neoplasms (Cancers and Tumors),high
ICD-6 (1950-1957),1990,Malignant neoplasm of other and unspecified sites,neoplasms,Neoplasms (Cancers and Tumors),high
