code,icd_version,harmonized_category,harmonized_category_name,classification_confidence,notes
X200,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X200)
X206,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X206)
X207,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X207)
X230,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X230)
X234,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X234)
X237,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X237)
X238,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X238)
X239,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X239)
X250,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X250)
X254,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X254)
X257,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X257)
X259,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X259)
X268,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X268)
X300,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X300)
X301,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X301)
X303,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X303)
X304,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X304)
X306,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X306)
X308,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X308)
X309,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X309)
X310,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X310)
X311,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X311)
X312,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X312)
X313,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X313)
X314,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X314)
X315,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X315)
X316,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X316)
X317,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X317)
X318,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X318)
X319,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X319)
X320,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X320)
X331,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X331)
X333,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X333)
X334,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X334)
X337,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X337)
X338,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X338)
X339,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X339)
X360,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X360)
X364,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X364)
X368,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X368)
X378,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X378)
X380,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X380)
X384,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X384)
X390,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X390)
X392,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X392)
X393,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X393)
X394,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X394)
X398,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X398)
X399,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X399)
X430,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X430)
X431,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X431)
X432,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X432)
X438,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X438)
X439,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X439)
X460,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X460)
X461,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X461)
X462,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X462)
X464,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X464)
X465,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X465)
X466,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X466)
X468,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X468)
X469,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X469)
X470,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X470)
X471,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X471)
X472,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X472)
X473,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X473)
X474,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X474)
X475,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X475)
X476,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X476)
X477,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X477)
X478,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X478)
X479,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X479)
X480,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X480)
X485,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X485)
X486,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X486)
X488,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X488)
X489,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X489)
X49,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X49)
X490,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X490)
X491,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X491)
X492,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X492)
X494,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X494)
X495,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X495)
X496,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X496)
X497,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X497)
X498,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X498)
X499,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X499)
X500,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X500)
X501,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X501)
X503,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X503)
X504,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X504)
X505,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X505)
X508,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X508)
X509,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X509)
X530,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X530)
X531,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X531)
X539,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X539)
X549,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X549)
X570,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X570)
X571,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X571)
X572,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X572)
X578,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X578)
X579,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X579)
X580,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X580)
X581,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X581)
X582,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X582)
X583,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X583)
X584,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X584)
X585,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X585)
X588,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X588)
X589,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X589)
X590,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X590)
X591,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X591)
X592,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X592)
X593,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X593)
X594,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X594)
X595,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X595)
X596,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X596)
X597,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X597)
X598,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X598)
X599,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X599)
X630,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X630)
X631,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X631)
X634,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X634)
X635,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X635)
X638,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X638)
X639,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X639)
X660,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X660)
X661,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X661)
X662,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X662)
X665,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X665)
X666,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X666)
X668,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X668)
X669,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X669)
X670,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X670)
X671,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X671)
X672,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X672)
X673,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X673)
X674,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X674)
X675,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X675)
X676,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X676)
X677,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X677)
X678,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X678)
X679,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X679)
X680,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X680)
X684,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X684)
X687,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X687)
X688,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X688)
X689,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X689)
X690,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X690)
X691,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X691)
X692,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X692)
X694,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X694)
X695,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X695)
X696,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X696)
X697,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X697)
X698,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X698)
X699,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X699)
X710,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X710)
X711,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X711)
X712,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X712)
X713,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X713)
X714,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X714)
X715,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X715)
X716,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X716)
X717,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X717)
X718,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X718)
X719,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X719)
X720,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X720)
X721,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X721)
X724,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X724)
X727,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X727)
X728,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X728)
X730,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X730)
X732,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X732)
X733,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X733)
X734,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X734)
X735,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X735)
X736,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X736)
X737,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X737)
X738,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X738)
X739,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X739)
X740,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X740)
X741,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X741)
X742,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X742)
X743,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X743)
X744,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X744)
X745,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X745)
X746,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X746)
X747,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X747)
X748,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X748)
X749,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X749)
X750,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X750)
X754,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X754)
X759,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X759)
X760,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X760)
X761,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X761)
X762,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X762)
X763,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X763)
X764,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X764)
X765,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X765)
X766,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X766)
X767,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X767)
X768,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X768)
X769,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X769)
X770,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X770)
X779,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X779)
X780,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X780)
X781,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X781)
X782,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X782)
X783,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X783)
X784,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X784)
X785,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X785)
X786,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X786)
X787,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X787)
X788,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X788)
X789,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X789)
X790,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X790)
X794,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X794)
X798,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X798)
X800,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Intentional self-harm by jumping from a high place (X800)
X801,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Intentional self-harm by jumping from a high place (X801)
X802,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Intentional self-harm by jumping from a high place (X802)
X804,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Intentional self-harm by jumping from a high place (X804)
X805,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Intentional self-harm by jumping from a high place (X805)
X806,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Intentional self-harm by jumping from a high place (X806)
X807,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Intentional self-harm by jumping from a high place (X807)
X808,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Intentional self-harm by jumping from a high place (X808)
X809,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Intentional self-harm by jumping from a high place (X809)
X810,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X810)
X814,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X814)
X815,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X815)
X816,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X816)
X817,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X817)
X818,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X818)
X819,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X819)
X824,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X824)
X828,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X828)
X829,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X829)
X830,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X830)
X831,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X831)
X832,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X832)
X834,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X834)
X835,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X835)
X836,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X836)
X837,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X837)
X838,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X838)
X839,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X839)
X840,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X840)
X841,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X841)
X842,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X842)
X843,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X843)
X844,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X844)
X845,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X845)
X846,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X846)
X847,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X847)
X848,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X848)
X849,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X849)
X850,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X850)
X851,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X851)
X852,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X852)
X854,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: External causes - intentional (X854)
